cod_transicao;frase_generica;frase_dependencia;frase_morte;atendimento_humano
04F;Informamos que este pedido de indenização foi analisado e identificamos pendências documentais que impedem a conclusão do processo. Regularize os documentos listados abaixo e acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.;N/A;N/A;N/A
04G;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
04H;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
04I;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
04J;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
04K;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
04L;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
04M;"O pedido de indenização está em análise na Seguradora Líder-DPVAT. Identificamos que será necessário que a vítima realize uma perícia médica, por isso, em breve, entraremos em contato por meio do telefone ou endereço informados na abertura do processo para marcar o exame. 
Aguarde e continue acompanhando o andamento do seu pedido";N/A;N/A;N/A
04N;"O pedido de indenização está em análise na Seguradora Líder em fase de verificação das despesas médicas e suplementares realizadas com o tratamento.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
04O;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
04P;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
04Q;Verificamos que este pedido de indenização foi feito após o prazo estabelecido em lei para dar entrada no Seguro DPVAT e, por esse motivo, o processo foi negado, conforme carta enviada para o beneficiário.;N/A;N/A;N/A
04R;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
04S;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
04T;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
04U;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
04V;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
04W;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
04X;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
04Y;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
04Z;"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";N/A;N/A
50;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
51;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
52;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
53;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
54;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
55;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
56;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
57;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
58;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
59;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
05A;"Informamos que este pedido de indenização foi negado por terem sido encontradas irregularidades. 
";N/A;N/A;N/A
05B;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
05C;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
05D;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
05E;"Informamos que este pedido de indenização foi negado por terem sido encontradas irregularidades. 
";N/A;N/A;N/A
05F;"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";N/A;N/A
05G;Informamos que o pedido de indenização está em fase final de análise na Seguradora Líder e, em breve, o pagamento será liberado. Volte a consultar o andamento do seu pedido em 4 dias.;N/A;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;SIM_MORTE
05H;Não foi possível identificar, na documentação apresentada, a existência e o grau das lesões permanentes ocasionadas pelo acidente de trânsito. Agendamos uma perícia médica, porém,  a vítima não compareceu ao exame. Entre em contato, ainda hoje, dentro do horário comercial, no telefone (bind telefoneprestador)  para fazermos uma nova tentativa de agendamento do exame.;N/A;N/A;N/A
05I;Informamos que o pedido de indenização está em fase final de análise na Seguradora Líder e, em breve, o pagamento será liberado. Volte a consultar o andamento do seu pedido em 4 dias.;N/A;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;SIM_MORTE
05J;"O pedido de indenização está em análise na Seguradora Líder em fase de verificação das despesas médicas e suplementares realizadas com o tratamento.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
05K;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
05L;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
05M;Informamos que este pedido de indenização foi concluído, com o pagamento realizado  na conta bancária indicada. ;N/A;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;SIM_MORTE
05N;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;SIM_MORTE
05O;Informamos que o pedido de indenização foi aprovado, mas o crédito de pagamento não foi aceito pelo banco por inconsistência nos dados bancários fornecidos no seu cadastro.  Clique em Atualização de dados para informar a conta bancária para depósito.;N/A;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;SIM_MORTE
05P;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
05Q;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
05R;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
05S;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
05T;Informamos que o pedido de indenização foi aprovado, mas o crédito de pagamento não foi aceito pelo banco por inconsistência nos dados bancários fornecidos no seu cadastro. Acesse: https://www.seguradoralider.com.br/Documents/formularios-indenizacao/Formulario_Unico.pdf para imprimir um novo Formulário de Pedido do Seguro DPVAT e atualizar os seus dados bancários, em seguida acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.  O pagamento será realizado em até 30 dias após o envio das informações corretas. ;N/A;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;SIM_MORTE
05U;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;SIM_MORTE
05V;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
05W;"A documentação está a caminho da digitalizadora e depois será analisada pela equipe técnica da seguradora.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ";N/A;N/A;N/A
05X;"Seus documentos estão em fase de digitalização e depois serão analisados pela equipe técnica da seguradora. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do pedido.";N/A;N/A;N/A
05Y;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
05Z;Conforme solicitação, o pedido do Seguro DPVAT por invalidez permanente foi revisado e, após análise da documentação apresentada, não foram identificadas novas lesões ou agravamento da(s) lesão(ões) que já foi(foram) indenizada(s).  O pedido de reanálise foi encerrado, permanecendo o valor pago.;N/A;N/A;N/A
60;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
61;Informamos que, conforme solicitação, o pedido do Seguro DPVAT por reembolso de despesas médicas (DAMS) foi revisado, mas a análise médica presencial e os documentos apresentados não indicam a existência de novos valores a serem reembolsados ou de complemento das despesas já avaliadas. O seu pedido de reanálise foi encerrado, permanecendo o valor pago.;N/A;N/A;N/A
62;Conforme solicitação, o pedido do Seguro DPVAT por reembolso de despesas médicas (DAMS) foi revisado, mas os documentos apresentados não indicam a existência de novos valores a serem reembolsados ou de complemento das despesas já avaliadas. O seu pedido de reanálise foi encerrado, permanecendo o valor pago.;N/A;N/A;N/A
63;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
64;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
65;"O pedido de indenização está em análise na Seguradora Líder-DPVAT. Identificamos que será necessário que a vítima realize uma perícia médica, por isso, em breve, entraremos em contato por meio do telefone ou endereço informados na abertura do processo para marcar o exame. 
Aguarde e continue acompanhando o andamento do seu pedido";N/A;N/A;N/A
66;Informamos que o pedido de indenização está em fase final de análise na Seguradora Líder e, em breve, o pagamento será liberado. Volte a consultar o andamento do seu pedido em 4 dias.;N/A;N/A;N/A
67;Informamos que o pedido de indenização está em fase final de análise na Seguradora Líder e, em breve, o pagamento será liberado. Volte a consultar o andamento do seu pedido em 4 dias.;N/A;N/A;N/A
68;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
69;Informamos que a documentação foi recebida e digitalizada e o pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
06A;Informamos que a documentação foi recebida e digitalizada e o pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
06B;Informamos que a documentação foi recebida e digitalizada e o pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
06C;Informamos que a documentação foi recebida e digitalizada e o pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
06D;Informamos que, em complemento à análise do pedido de indenização, foram agendadas três análises médicas presenciais, já que não foi possível identificar, na documentação apresentada, a existência e o grau de lesões permanentes ocasionadas pelo acidente de trânsito. No entanto, como a vítima não compareceu a nenhum dos exames agendados, o pedido foi negado por falta de comprovação da invalidez permanente. ;N/A;N/A;N/A
06E;Não foi possível identificar, na documentação apresentada, a existência e o grau das lesões permanentes ocasionadas pelo acidente de trânsito. Foi feita a tentativa de agendar uma consulta médica, porém não conseguimos contato com a vítima. Caso tenha interesse em dar continuidade ao processo, retorne ao local em que deu entrada e atualize seus dados de contato.;Não foi possível identificar, na documentação apresentada, a existência e o grau das lesões permanentes ocasionadas pelo acidente de trânsito. Foi feita a tentativa de agendar uma consulta médica, porém não conseguimos contato com a vítima. Caso tenha interesse em dar continuidade ao processo.;N/A;N/A
06F;Em complemento à análise do pedido, foi agendada uma análise médica presencial, já que não foi possível identificar, na documentação apresentada, a existência e o grau de lesões permanentes ocasionadas pelo acidente de trânsito. No entanto, como a vítima não compareceu ao exame, o pedido não foi finalizado.  Caso tenha interesse em dar continuidade ao processo,  clique em Atualização de dados e preencha o formulário.;N/A;N/A;N/A
06G;"O pedido de indenização do Seguro DPVAT está em fase de agendamento de análise médica presencial. Em breve, entraremos em contato por telefone ou carta para marcar o exame. É muito importante que a vítima compareça no dia e horário agendados, levando um documento de identificação original com foto. O não comparecimento gera pendência, atrasando a conclusão do processo.
Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
06H;Informamos que, conforme solicitação, o pedido de indenização por invalidez permanente foi reanalisado. Foi agendada uma análise médica presencial, como a vítima não compareceu ao exame e não foram identificadas, na documentação enviada, novas lesões ou agravamento da(s) lesão(ões) que já foi(foram) indenizada(s),  o pedido foi finalizado com o valor já pago à vítima.  ;N/A;N/A;N/A
06I;"O pedido de indenização está em análise na Seguradora Líder-DPVAT. Identificamos que será necessário que a vítima realize uma perícia médica, por isso, em breve, entraremos em contato por meio do telefone ou endereço informados na abertura do processo para marcar o exame. 
Aguarde e continue acompanhando o andamento do seu pedido";N/A;N/A;N/A
06J;Informamos que o pedido de indenização está em fase final de análise na Seguradora Líder e, em breve, o pagamento será liberado. Volte a consultar o andamento do seu pedido em 4 dias.;N/A;N/A;N/A
06K;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
06L;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
06M;Informamos que, em complemento à análise do pedido de indenização, foram agendadas três análises médicas presenciais, já que não foi possível identificar, na documentação apresentada, a existência e o grau de lesões permanentes ocasionadas pelo acidente de trânsito. No entanto, como a vítima não compareceu a nenhum dos exames agendados, o pedido foi negado por falta de comprovação da invalidez permanente. ;N/A;N/A;N/A
06N;Informamos que, conforme solicitação, o pedido de indenização por invalidez permanente foi reanalisado. Foi agendada uma análise médica presencial, como a vítima não compareceu ao exame e não foram identificadas, na documentação enviada, novas lesões ou agravamento da(s) lesão(ões) que já foi(foram) indenizada(s),  o pedido foi finalizado com o valor já pago à vítima.  ;N/A;N/A;N/A
06O;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
06P;"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";N/A;N/A
06Q;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
06R;Informamos que o pedido de indenização está em fase final de análise na Seguradora Líder e, em breve, o pagamento será liberado. Volte a consultar o andamento do seu pedido em 4 dias.;N/A;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;SIM_MORTE
06S;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
06T;"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";N/A;N/A
06U;Informamos que o pedido de indenização está em fase final de análise na Seguradora Líder e, em breve, o pagamento será liberado. Volte a consultar o andamento do seu pedido em 4 dias.;N/A;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;SIM_MORTE
06V;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
06W;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
06X;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
06Y;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
06Z;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
70;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
71;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
73;"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";N/A;N/A
74;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
78;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
79;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
07B;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
07D;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
07E;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
07F;Informamos que a documentação foi recebida e digitalizada e o pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
07G;Informamos que a documentação foi recebida e digitalizada e o pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
07H;"Seus documentos estão em fase de digitalização e depois serão analisados pela equipe técnica da seguradora. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do pedido.";N/A;N/A;N/A
07J;"Seus documentos estão em fase de digitalização e depois serão analisados pela equipe técnica da seguradora. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do pedido.";N/A;N/A;N/A
07K;"Seus documentos estão em fase de digitalização e depois serão analisados pela equipe técnica da seguradora. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do pedido.";N/A;N/A;N/A
07L;O pedido de indenização do Seguro DPVAT não teve sua análise continuada devido à alguma inconsistência.  ;N/A;N/A;SIM
07M;"Informamos que este pedido de indenização está em fase de cadastramento. A documentação será digitalizada e depois analisada pela equipe da seguradora. 
O prazo para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.";N/A;N/A;N/A
07N;"Informamos que este pedido de indenização está em fase de cadastramento. A documentação será digitalizada e depois analisada pela equipe da seguradora. 
O prazo para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.";N/A;N/A;N/A
07O;O pedido de indenização do Seguro DPVAT não teve sua análise continuada devido à alguma inconsistência.  ;N/A;N/A;SIM
07P;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
07Q;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
07R;"Informamos que este pedido de indenização está em fase de cadastramento. A documentação será digitalizada e depois analisada pela equipe da seguradora. 
O prazo para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.";N/A;N/A;N/A
07T;"O pedido de indenização está em análise na Seguradora Líder-DPVAT. Identificamos que será necessário que a vítima realize uma perícia médica, por isso, em breve, entraremos em contato por meio do telefone ou endereço informados na abertura do processo para marcar o exame. 
Aguarde e continue acompanhando o andamento do seu pedido";N/A;N/A;N/A
07W;Informamos que o pedido de indenização está em fase final de análise na Seguradora Líder e, em breve, o pagamento será liberado. Volte a consultar o andamento do seu pedido em 4 dias.;N/A;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;SIM_MORTE
07X;Informamos que este pedido de indenização foi analisado e identificamos pendências documentais que impedem a conclusão do processo. Regularize os documentos listados abaixo e acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.;N/A;N/A;N/A
07Y;Informamos que este pedido de indenização foi analisado e identificamos pendências documentais que impedem a conclusão do processo. Regularize os documentos listados abaixo e acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.;N/A;N/A;N/A
07Z;Informamos que este pedido de indenização foi analisado e identificamos pendências documentais que impedem a conclusão do processo. Regularize os documentos listados abaixo e acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.;N/A;N/A;N/A
80;Informamos que este pedido de indenização foi analisado e identificamos pendências documentais que impedem a conclusão do processo. Regularize os documentos listados abaixo e acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.;N/A;N/A;N/A
